nombre,capital,poblacion,idioma,divisa
Antarctica,Sin capital,1.000,Desconocido,Desconocida
South Georgia,King Edward Point,30,English,British pound (GBP)
Heard Island and McDonald Islands,Sin capital,0,English,Desconocida
Bouvet Island,Sin capital,0,Norwegian,Desconocida
French Southern and Antarctic Lands,Port-aux-Français,400,French,Euro (EUR)
